,business_code,cust_number,name_customer,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,y_pred_days,predicted_clear_date,age_bin
10,U001,0200803720,DEC corp,2020.0,1930698352.0,2020-03-25,20200325,20200325,2020-04-08,USD,RV,1.0,,138.6,20200316.0,NAM4,1930698352.0,1,-7 days,2020-04-01,0-15 days
11,U001,0200794332,COST co,2020.0,1930647189.0,2020-03-13,20200313,20200313,2020-03-28,USD,RV,1.0,,32715.47,20200313.0,NAAX,1930647189.0,1,0 days,2020-03-28,0-15 days
12,U001,0200020431,DEC us,2020.0,1930861637.0,2020-05-06,20200506,20200506,2020-05-24,USD,RV,1.0,,174.72,20200501.0,NAM4,1930861637.0,1,-5 days,2020-05-19,0-15 days
13,U001,0200769623,WAL-MAR associates,2020.0,1930635649.0,2020-03-12,20200311,20200312,2020-03-27,USD,RV,1.0,,767.78,20200312.0,NAH4,1930635649.0,1,-3 days,2020-03-24,0-15 days
14,CA02,140105785,SHOPPE foundation,2020.0,2960624627.0,2020-03-27,20200327,20200327,2020-04-10,CAD,RV,1.0,,2829.6,20200331.0,CA10,2960624627.0,1,39 days,2020-05-19,30-45 days
15,U001,0200769623,WAL-MAR ,2020.0,1930577078.0,2020-02-28,20200227,20200228,2020-03-14,USD,RV,1.0,,14514.68,20200228.0,NAH4,1930577078.0,1,-4 days,2020-03-10,0-15 days
16,U001,0200769623,WAL-MAR foundation,2020.0,1930774741.0,2020-04-10,20200410,20200410,2020-04-25,USD,RV,1.0,,55400.31,20200410.0,NAH4,1930774741.0,1,-4 days,2020-04-21,0-15 days
17,U001,0200772670,ASSOCIAT corporation,2020.0,1930765053.0,2020-04-09,20200408,20200409,2020-04-24,USD,RV,1.0,,174766.36,20200409.0,NAU5,1930765053.0,1,4 days,2020-04-28,0-15 days
18,U001,0200900909,SYSCO systems,2020.0,1930645969.0,2020-03-13,20200312,20200313,2020-04-14,USD,RV,1.0,,31512.75,20200313.0,NA32,1930645969.0,1,0 days,2020-04-14,0-15 days
19,U001,0200769623,WAL-MAR systems,2020.0,1930718081.0,2020-03-30,20200329,20200330,2020-04-14,USD,RV,1.0,,19701.55,20200330.0,NAH4,1930718081.0,1,-5 days,2020-04-09,0-15 days
20,U001,0200726979,BJ'S  trust,2020.0,1930788667.0,2020-04-16,20200415,20200416,2020-05-01,USD,RV,1.0,,132.72,20200416.0,NAA8,1930788667.0,1,1 days,2020-05-02,0-15 days
21,U001,0200769623,WAL-MAR llc,2020.0,1930709919.0,2020-03-29,20200328,20200329,2020-04-13,USD,RV,1.0,,1121.15,20200329.0,NAH4,1930709919.0,1,-4 days,2020-04-09,0-15 days
22,U001,0200769623,WAL-MAR llc,2020.0,1930752568.0,2020-04-06,20200406,20200406,2020-04-21,USD,RV,1.0,,11394.84,20200406.0,NAH4,1930752568.0,1,-4 days,2020-04-17,0-15 days
23,CA02,0140105847,GORDON F co,2020.0,2960627274.0,2020-04-08,20200408,20200408,2020-04-18,CAD,RV,1.0,,3685.2,20200408.0,CA10,2960627274.0,1,3 days,2020-04-21,0-15 days
24,U001,0200744019,TARG foundation,2020.0,1930648342.0,2020-03-15,20200314,20200315,2020-03-30,USD,RV,1.0,,52123.3,20200315.0,NAA8,1930648342.0,1,4 days,2020-04-03,0-15 days
25,U001,0200769623,WAL-MAR systems,2020.0,1930632791.0,2020-03-10,20200310,20200310,2020-03-25,USD,RV,1.0,,14994.01,20200310.0,NAH4,1930632791.0,1,-3 days,2020-03-22,0-15 days
26,U001,0200769623,WAL-MAR llc,2020.0,1930617194.0,2020-03-06,20200306,20200306,2020-03-21,USD,RV,1.0,,36.06,20200306.0,NAH4,1930617194.0,1,-1 days,2020-03-20,0-15 days
27,U001,0200418007,AM in,2020.0,1930752243.0,2020-04-06,20200406,20200406,2020-04-21,USD,RV,1.0,,25836.19,20200406.0,NAA8,1930752243.0,1,2 days,2020-04-23,0-15 days
28,U001,0200739006,AL foundation,2020.0,1930768064.0,2020-04-15,20200409,20200415,2020-04-30,USD,RV,1.0,,4309.05,20200415.0,NAA8,1930768064.0,1,1 days,2020-05-01,0-15 days
29,U001,0100031704,DELHAIZE associates,2020.0,1930789873.0,2020-04-15,20200416,20200415,2020-04-30,USD,RV,1.0,,70181.07,20200415.0,NAA8,1930789873.0,1,6 days,2020-05-06,0-15 days
30,U001,0200769623,WAL-MAR trust,2020.0,1930705172.0,2020-03-28,20200326,20200328,2020-04-12,USD,RV,1.0,,3403.8,20200328.0,NAH4,1930705172.0,1,-4 days,2020-04-08,0-15 days
31,U001,0200744019,TARG systems,2020.0,1930620634.0,2020-03-10,20200307,20200310,2020-05-14,USD,RV,1.0,,10665.53,20200310.0,NAGD,1930620634.0,1,1 days,2020-05-15,0-15 days
32,U001,0200769623,WAL-MAR ,2020.0,1930676002.0,2020-03-21,20200320,20200321,2020-04-05,USD,RV,1.0,,7280.51,20200321.0,NAH4,1930676002.0,1,-1 days,2020-04-04,0-15 days
33,U001,0200726979,BJ'S  corporation,2020.0,1930585378.0,2020-03-02,20200301,20200302,2020-03-17,USD,RV,1.0,,13681.7,20200302.0,NAA8,1930585378.0,1,0 days,2020-03-17,0-15 days
34,U001,0200706844,WINC associates,2020.0,1930773419.0,2020-04-07,20200410,20200407,2020-04-22,USD,RV,1.0,,33947.85,20200407.0,NAA8,1930773419.0,1,1 days,2020-04-23,0-15 days
35,U001,0200793830,M llc,2020.0,1930767747.0,2020-04-08,20200409,20200408,2020-04-23,USD,RV,1.0,,4537.14,20200408.0,NAA8,1930767747.0,1,0 days,2020-04-23,0-15 days
36,U001,0200769623,WAL-MAR foundation,2020.0,1930750455.0,2020-04-06,20200405,20200406,2020-04-21,USD,RV,1.0,,14355.96,20200406.0,NAH4,1930750455.0,1,-4 days,2020-04-17,0-15 days
37,U001,0200769623,WAL-MAR systems,2020.0,1930738904.0,2020-04-03,20200403,20200403,2020-04-18,USD,RV,1.0,,367.71,20200403.0,NAH4,1930738904.0,1,-3 days,2020-04-15,0-15 days
38,U001,0200769623,WAL-MAR trust,2020.0,1930862467.0,2020-05-06,20200506,20200506,2020-05-21,USD,RV,1.0,,56284.77,20200506.0,NAH4,1930862467.0,1,-3 days,2020-05-18,0-15 days
39,U001,0200769623,WAL-MAR systems,2020.0,1930582162.0,2020-02-29,20200228,20200229,2020-03-15,USD,RV,1.0,,50493.86,20200229.0,NAH4,1930582162.0,1,-4 days,2020-03-11,0-15 days
40,U001,0200769623,WAL-MAR llc,2020.0,1930802490.0,2020-04-21,20200420,20200421,2020-05-06,USD,RV,1.0,,15489.43,20200421.0,NAH4,1930802490.0,1,-2 days,2020-05-04,0-15 days
41,CA02,0140104423,METRO  llc,2020.0,2960617050.0,2020-02-27,20200227,20200227,2020-03-11,CAD,RV,1.0,,133113.36,20200301.0,CA10,2960617050.0,1,4 days,2020-03-15,0-15 days
42,U001,0200726979,BJ'S  systems,2020.0,1930801417.0,2020-04-19,20200418,20200419,2020-05-04,USD,RV,1.0,,360.33,20200419.0,NAA8,1930801417.0,1,1 days,2020-05-05,0-15 days
43,U001,0200743996,STATER  llc,2020.0,1930660304.0,2020-03-16,20200317,20200316,2020-05-20,USD,RV,1.0,,3826.03,20200316.0,NAGD,1930660304.0,1,2 days,2020-05-22,0-15 days
44,U001,0200752302,KROGER trust,2020.0,1930733767.0,2020-04-02,20200402,20200402,2020-04-17,USD,RV,1.0,,96674.05,20200402.0,NAA8,1930733767.0,1,6 days,2020-04-23,0-15 days
45,CA02,140105686,SYSC llc,2020.0,2960633120.0,2020-05-06,20200506,20200506,2020-05-18,CAD,RV,1.0,,61757.57,20200508.0,CA10,2960633120.0,1,8 days,2020-05-26,0-15 days
46,U001,0200711029,WEGMAN corp,2020.0,1930742932.0,2020-04-03,20200403,20200403,2020-04-18,USD,RV,1.0,,14382.22,20200403.0,NAA8,1930742932.0,1,2 days,2020-04-20,0-15 days
47,CA02,CCU001,KRAFT  corporation,2020.0,2960622220.0,2020-03-20,20200320,20200320,2020-04-27,CAD,RV,1.0,,25468.67,20200323.0,NAG2,2960622220.0,1,6 days,2020-05-03,0-15 days
48,U001,0200769623,WAL-MAR llc,2020.0,1930804924.0,2020-04-21,20200420,20200421,2020-05-06,USD,RV,1.0,,35509.95,20200421.0,NAH4,1930804924.0,1,-4 days,2020-05-02,0-15 days
49,U001,0200769623,WAL-MAR associates,2020.0,1930746955.0,2020-04-05,20200404,20200405,2020-04-20,USD,RV,1.0,,13512.61,20200405.0,NAH4,1930746955.0,1,-1 days,2020-04-19,0-15 days
50,U001,0200772670,ASSOCIAT corp,2020.0,1930698156.0,2020-03-24,20200325,20200324,2020-04-08,USD,RV,1.0,,24421.33,20200324.0,NAU5,1930698156.0,1,1 days,2020-04-09,0-15 days
51,U001,0200769623,WAL-MAR co,2020.0,1930801200.0,2020-04-19,20200418,20200419,2020-05-04,USD,RV,1.0,,11217.33,20200419.0,NAH4,1930801200.0,1,-4 days,2020-04-30,0-15 days
52,U001,0200769623,WAL-MAR systems,2020.0,1930776682.0,2020-04-13,20200411,20200413,2020-04-28,USD,RV,1.0,,12554.13,20200413.0,NAH4,1930776682.0,1,-5 days,2020-04-23,0-15 days
53,U001,0200720238,WOODM co,2020.0,1930858727.0,2020-05-06,20200505,20200506,2020-05-21,USD,RV,1.0,,126919.03,20200506.0,NAA8,1930858727.0,1,5 days,2020-05-26,0-15 days
54,CA02,140106408,WAL-M in,2020.0,2960631200.0,2020-04-25,20200425,20200425,2020-05-05,CAD,RV,1.0,,40768.12,20200425.0,CA10,2960631200.0,1,8 days,2020-05-13,0-15 days
55,U001,0200769623,WAL-MAR co,2020.0,1930729999.0,2020-04-01,20200401,20200401,2020-04-16,USD,RV,1.0,,24834.9,20200401.0,NAH4,1930729999.0,1,-3 days,2020-04-13,0-15 days
56,U001,0200769623,WAL-MAR us,2020.0,1930653060.0,2020-03-15,20200316,20200315,2020-03-30,USD,RV,1.0,,50202.83,20200315.0,NAH4,1930653060.0,1,-3 days,2020-03-27,0-15 days
57,U001,0200769623,WAL-MAR us,2020.0,1930715979.0,2020-04-01,20200330,20200401,2020-04-16,USD,RV,1.0,,8299.7,20200401.0,NAH4,1930715979.0,1,-2 days,2020-04-14,0-15 days
58,U001,0200799367,MCL corporation,2020.0,1930673430.0,2020-03-24,20200319,20200324,2020-04-08,USD,RV,1.0,,51602.13,20200324.0,NAA8,1930673430.0,1,4 days,2020-04-12,0-15 days
59,U001,0200759878,SA co,2020.0,1930783249.0,2020-04-14,20200414,20200414,2020-04-29,USD,RV,1.0,,18900.99,20200414.0,NAH4,1930783249.0,1,0 days,2020-04-29,0-15 days
60,U001,0200794332,COST corp,2020.0,1930638145.0,2020-03-14,20200311,20200314,2020-03-29,USD,RV,1.0,,49467.7,20200314.0,NAAX,1930638145.0,1,0 days,2020-03-29,0-15 days
61,U001,0200515231,US  us,2020.0,1930768145.0,2020-04-09,20200409,20200409,2020-04-24,USD,RV,1.0,,10187.66,20200409.0,NAA8,1930768145.0,1,1 days,2020-04-25,0-15 days
62,U001,0200782669,SYGMA corp,2020.0,1930636977.0,2020-03-13,20200311,20200313,2020-03-28,USD,RV,1.0,,237.4,20200313.0,NAA8,1930636977.0,1,2 days,2020-03-30,0-15 days
63,U001,200769623,WAL-MAR foundation,2020.0,1930882979.0,2020-05-12,20200509,20200512,2020-05-27,USD,RV,1.0,,11532.84,20200512.0,NAH4,1930882979.0,1,-4 days,2020-05-23,0-15 days
64,U001,0200769623,WAL-MAR ,2020.0,1930692833.0,2020-03-24,20200324,20200324,2020-04-08,USD,RV,1.0,,20017.92,20200324.0,NAH4,1930692833.0,1,-5 days,2020-04-03,0-15 days
65,U001,0200331749,SYSC foundation,2020.0,1930579080.0,2020-02-28,20200227,20200228,2020-03-14,USD,RV,1.0,,5320.85,20200228.0,NAA8,1930579080.0,1,2 days,2020-03-16,0-15 days
66,U001,0200772670,ASSOCIAT associates,2020.0,1930819529.0,2020-04-23,20200423,20200423,2020-05-08,USD,RV,1.0,,30900.83,20200423.0,NAU5,1930819529.0,1,2 days,2020-05-10,0-15 days
67,U001,0200772670,ASSOCIAT us,2020.0,1930736164.0,2020-04-02,20200402,20200402,2020-04-17,USD,RV,1.0,,65843.26,20200402.0,NAU5,1930736164.0,1,10 days,2020-04-27,0-15 days
68,U001,0200706844,WINC foundation,2020.0,1930599854.0,2020-03-04,20200304,20200304,2020-03-19,USD,RV,1.0,,359.44,20200304.0,NAA8,1930599854.0,1,1 days,2020-03-20,0-15 days
69,U001,0100043975,JAVA ,2020.0,1930740345.0,2020-04-03,20200403,20200403,2020-04-18,USD,RV,1.0,,1427.36,20200403.0,NAA8,1930740345.0,1,2 days,2020-04-20,0-15 days
70,U001,0200762301,C&S WH in,2020.0,1930592552.0,2020-03-04,20200302,20200304,2020-03-19,USD,RV,1.0,,99091.71,20200304.0,NAC6,1930592552.0,1,3 days,2020-03-22,0-15 days
71,U001,0200148860,DOLLA associates,2020.0,1930732920.0,2020-04-03,20200402,20200403,2020-06-07,USD,RV,1.0,,6543.44,20200403.0,NAGD,1930732920.0,1,-51 days,2020-04-17,0-15 days
72,CA02,0100027744,OMEGA AD in,2020.0,2960635652.0,2020-05-19,20200519,20200519,2020-05-19,CAD,RV,1.0,,7035.0,20200519.0,CAB1,2960635652.0,1,1 days,2020-05-20,0-15 days
73,U001,0100031704,DELHAIZE co,2020.0,1930585468.0,2020-03-01,20200301,20200301,2020-03-16,USD,RV,1.0,,106394.18,20200301.0,NAA8,1930585468.0,1,7 days,2020-03-23,0-15 days
74,U001,0200799420,HT HA foundation,2020.0,1930703225.0,2020-03-25,20200325,20200325,2020-04-09,USD,RV,1.0,,801.1,20200325.0,NAA8,1930703225.0,1,0 days,2020-04-09,0-15 days
75,U001,0200974851,RESTA systems,2020.0,1930706997.0,2020-03-26,20200326,20200326,2020-04-10,USD,RV,1.0,,3566.69,20200326.0,NAA8,1930706997.0,1,0 days,2020-04-10,0-15 days
76,U001,0200769623,WAL-MAR in,2020.0,1930830709.0,2020-04-28,20200427,20200428,2020-05-13,USD,RV,1.0,,8885.57,20200428.0,NAH4,1930830709.0,1,-3 days,2020-05-10,0-15 days
77,U001,0200793568,SUPE llc,2020.0,1930630388.0,2020-03-10,20200310,20200310,2020-03-25,USD,RV,1.0,,15893.27,20200310.0,NAA8,1930630388.0,1,-1 days,2020-03-24,0-15 days
78,U001,0200759878,SA foundation,2020.0,1930609945.0,2020-03-06,20200305,20200306,2020-03-21,USD,RV,1.0,,70180.8,20200306.0,NAH4,1930609945.0,1,7 days,2020-03-28,0-15 days
79,U001,0200712187,SPAR in,2020.0,1930806222.0,2020-04-20,20200421,20200420,2020-05-05,USD,RV,1.0,,119384.36,20200420.0,NAA8,1930806222.0,1,0 days,2020-05-05,0-15 days
80,U001,0100047532,KEYSTON associates,2020.0,1930592834.0,2020-03-04,20200302,20200304,2020-03-19,USD,RV,1.0,,11852.54,20200304.0,NAA8,1930592834.0,1,1 days,2020-03-20,0-15 days
81,U001,0200794332,COST co,2020.0,1930562584.0,2020-02-28,20200224,20200228,2020-03-19,USD,RV,1.0,,11225.42,20200228.0,NA84,1930562584.0,1,4 days,2020-03-23,0-15 days
82,U001,0200148860,DOLLA associates,2020.0,1930699340.0,2020-03-25,20200325,20200325,2020-05-29,USD,RV,1.0,,5456.75,20200325.0,NAGD,1930699340.0,1,-50 days,2020-04-09,0-15 days
83,U001,200794332,COST llc,2020.0,1930862420.0,2020-05-08,20200506,20200508,2020-05-23,USD,RV,1.0,,81500.86,20200508.0,NAAX,1930862420.0,1,1 days,2020-05-24,0-15 days
84,U001,0200555117,BURR trust,2020.0,1930709963.0,2020-03-27,20200327,20200327,2020-04-11,USD,RV,1.0,,749.14,20200327.0,NAA8,1930709963.0,1,2 days,2020-04-13,0-15 days
85,U001,200769623,WAL-MAR in,2020.0,1930878284.0,2020-05-09,20200508,20200509,2020-05-24,USD,RV,1.0,,2219.89,20200509.0,NAH4,1930878284.0,1,-3 days,2020-05-21,0-15 days
86,U001,0200772670,ASSOCIAT corp,2020.0,1930683241.0,2020-03-21,20200321,20200321,2020-04-05,USD,RV,1.0,,15489.78,20200321.0,NAU5,1930683241.0,1,1 days,2020-04-06,0-15 days
87,U001,200707822,PUBLI corporation,2020.0,1930857983.0,2020-05-04,20200505,20200504,2020-05-19,USD,RV,1.0,,126107.91,20200504.0,NAA8,1930857983.0,1,0 days,2020-05-19,0-15 days
88,CA02,0140104392,FLANAG us,2020.0,2960619205.0,2020-03-06,20200306,20200306,2020-03-20,CAD,RV,1.0,,3612.39,20200310.0,CA10,2960619205.0,1,9 days,2020-03-29,0-15 days
89,U001,0200769623,WAL-MAR corp,2020.0,1930831780.0,2020-04-28,20200428,20200428,2020-05-13,USD,RV,1.0,,11545.38,20200428.0,NAH4,1930831780.0,1,-4 days,2020-05-09,0-15 days
90,U001,0200759878,SA systems,2020.0,1930717567.0,2020-03-31,20200329,20200331,2020-04-15,USD,RV,1.0,,47646.57,20200331.0,NAH4,1930717567.0,1,2 days,2020-04-17,0-15 days
91,U001,0200705742,DOT foundation,2020.0,1930581678.0,2020-02-28,20200228,20200228,2020-03-14,USD,RV,1.0,,5932.51,20200228.0,NAA8,1930581678.0,1,2 days,2020-03-16,0-15 days
92,U001,200793568,SUPE trust,2020.0,1930690537.0,2020-03-23,20200324,20200323,2020-04-07,USD,RV,1.0,,1635.76,20200323.0,NAA8,1930690537.0,1,0 days,2020-04-07,0-15 days
93,U001,0200726979,BJ'S  ,2020.0,1930646128.0,2020-03-12,20200312,20200312,2020-03-27,USD,RV,1.0,,1286.3,20200312.0,NAA8,1930646128.0,1,0 days,2020-03-27,0-15 days
94,U001,0200704858,WAKE corp,2020.0,1930762384.0,2020-04-09,20200408,20200409,2020-04-24,USD,RV,1.0,,99568.42,20200409.0,NAA8,1930762384.0,1,-2 days,2020-04-22,0-15 days
95,U001,0200780383,MEIJ in,2020.0,1930665025.0,2020-03-18,20200317,20200318,2020-04-02,USD,RV,1.0,,3612.63,20200318.0,NAA8,1930665025.0,1,2 days,2020-04-04,0-15 days
96,U001,0200762301,C&S WH associates,2020.0,1930778021.0,2020-04-12,20200411,20200412,2020-04-27,USD,RV,1.0,,102276.04,20200412.0,NAC6,1930778021.0,1,3 days,2020-04-30,0-15 days
97,CA02,0140106271,LONGO  in,2020.0,2960626604.0,2020-04-03,20200403,20200403,2020-04-17,CAD,RV,1.0,,12307.79,20200407.0,CA10,2960626604.0,1,1 days,2020-04-18,0-15 days
98,CA02,0140104423,METRO  us,2020.0,2960628851.0,2020-04-17,20200417,20200417,2020-05-01,CAD,RV,1.0,,64370.78,20200421.0,CA10,2960628851.0,1,1 days,2020-05-02,0-15 days
99,U001,0200741174,M B  co,2020.0,1930657267.0,2020-03-16,20200316,20200316,2020-03-31,USD,RV,1.0,,5767.83,20200316.0,NAA8,1930657267.0,1,4 days,2020-04-04,0-15 days
100,CA02,0100030194,AMAZO llc,2020.0,2960622411.0,2020-03-18,20200318,20200318,2020-03-30,CAD,RV,1.0,,14073.81,20200320.0,CA10,2960622411.0,1,10 days,2020-04-09,0-15 days
101,U001,0200769623,WAL-MAR trust,2020.0,1930720012.0,2020-03-30,20200330,20200330,2020-04-14,USD,RV,1.0,,42379.83,20200330.0,NAH4,1930720012.0,1,-4 days,2020-04-10,0-15 days
102,U001,0200592182,DECA in,2020.0,1930822583.0,2020-04-24,20200424,20200424,2020-05-09,USD,RV,1.0,,1761.84,20200416.0,NAM4,1930822583.0,1,-5 days,2020-05-04,0-15 days
103,U001,0200743996,STATER  co,2020.0,1930686889.0,2020-03-22,20200323,20200322,2020-04-06,USD,RV,1.0,,94612.03,20200322.0,NAA8,1930686889.0,1,8 days,2020-04-14,0-15 days
104,U001,0200769623,WAL-MAR in,2020.0,1930787980.0,2020-04-15,20200415,20200415,2020-04-30,USD,RV,1.0,,22226.35,20200415.0,NAH4,1930787980.0,1,-3 days,2020-04-27,0-15 days
105,U001,0200749782,KROG associates,2020.0,1930822131.0,2020-04-25,20200424,20200425,2020-05-10,USD,RV,1.0,,88502.01,20200425.0,NAA8,1930822131.0,1,2 days,2020-05-12,0-15 days
106,U001,0200744019,TARG corp,2020.0,1930641073.0,2020-03-13,20200312,20200313,2020-05-17,USD,RV,1.0,,1982.06,20200313.0,NAGD,1930641073.0,1,1 days,2020-05-18,0-15 days
107,U001,0200769623,WAL-MAR foundation,2020.0,1930804577.0,2020-04-21,20200421,20200421,2020-05-06,USD,RV,1.0,,2326.08,20200421.0,NAH4,1930804577.0,1,0 days,2020-05-06,0-15 days
108,U001,0200705742,DOT us,2020.0,1930592413.0,2020-03-02,20200302,20200302,2020-03-17,USD,RV,1.0,,9822.38,20200302.0,NAA8,1930592413.0,1,0 days,2020-03-17,0-15 days
109,U001,0200744019,TARG trust,2020.0,1930857489.0,2020-05-05,20200505,20200505,2020-05-20,USD,RV,1.0,,29592.42,20200505.0,NAA8,1930857489.0,1,4 days,2020-05-24,0-15 days
110,U001,0200772670,ASSOCIAT associates,2020.0,1930739252.0,2020-04-03,20200403,20200403,2020-04-18,USD,RV,1.0,,47903.76,20200403.0,NAU5,1930739252.0,1,3 days,2020-04-21,0-15 days
111,U001,0200769623,WAL-MAR corporation,2020.0,1930692953.0,2020-03-24,20200324,20200324,2020-04-08,USD,RV,1.0,,1898.9,20200324.0,NAH4,1930692953.0,1,-3 days,2020-04-05,0-15 days
112,U001,0200900909,SYSCO in,2020.0,1930741081.0,2020-04-03,20200403,20200403,2020-04-18,USD,RV,1.0,,7524.17,20200403.0,NAA8,1930741081.0,1,4 days,2020-04-22,0-15 days
113,U001,0200424504,M  in,2020.0,1930830032.0,2020-04-28,20200427,20200428,2020-04-15,USD,RV,1.0,,2428.04,20200415.0,NACG,1930830032.0,1,2 days,2020-04-17,0-15 days
114,U001,0100031704,DELHAIZE trust,2020.0,1930794735.0,2020-04-16,20200416,20200416,2020-06-20,USD,RV,1.0,,1176.59,20200416.0,NAGD,1930794735.0,1,-12 days,2020-06-08,0-15 days
115,U001,0200764795,SYSCO  us,2020.0,1930637455.0,2020-03-18,20200311,20200318,2020-04-19,USD,RV,1.0,,10978.51,20200318.0,NA32,1930637455.0,1,1 days,2020-04-20,0-15 days
116,U001,0200337148,COAS systems,2020.0,1930587342.0,2020-03-02,20200302,20200302,2020-03-17,USD,RV,1.0,,45127.79,20200302.0,NAA8,1930587342.0,1,-1 days,2020-03-16,0-15 days
117,U001,0200416837,DEC llc,2020.0,1930599382.0,2020-03-04,20200304,20200304,2020-03-24,USD,RV,1.0,,398.16,20200301.0,NAM4,1930599382.0,1,-7 days,2020-03-17,0-15 days
118,U001,0200769623,WAL-MAR llc,2020.0,1930623646.0,2020-03-09,20200309,20200309,2020-03-24,USD,RV,1.0,,58726.21,20200309.0,NAH4,1930623646.0,1,-4 days,2020-03-20,0-15 days
119,U001,0200726979,BJ'S  associates,2020.0,1930645815.0,2020-03-12,20200312,20200312,2020-03-27,USD,RV,1.0,,588.49,20200312.0,NAA8,1930645815.0,1,0 days,2020-03-27,0-15 days
120,U001,0200721222,GO us,2020.0,1930800642.0,2020-04-20,20200418,20200420,2020-05-05,USD,RV,1.0,,25685.07,20200420.0,NAA8,1930800642.0,1,0 days,2020-05-05,0-15 days
121,U001,0200772595,SAFEW corporation,2020.0,1930729101.0,2020-04-02,20200401,20200402,2020-04-17,USD,RV,1.0,,10020.14,20200402.0,NAA8,1930729101.0,1,1 days,2020-04-18,0-15 days
122,U001,0200820380,SMITH'S trust,2020.0,1930716191.0,2020-03-30,20200328,20200330,2020-04-14,USD,RV,1.0,,48022.97,20200330.0,NAA8,1930716191.0,1,2 days,2020-04-16,0-15 days
123,U001,0200793568,SUPE corporation,2020.0,1930779652.0,2020-04-14,20200412,20200414,2020-04-29,USD,RV,1.0,,36623.03,20200414.0,NAA8,1930779652.0,1,1 days,2020-04-30,0-15 days
124,U001,0200706844,WINC corp,2020.0,1930732708.0,2020-04-01,20200402,20200401,2020-04-16,USD,RV,1.0,,22644.53,20200401.0,NAA8,1930732708.0,1,0 days,2020-04-16,0-15 days
125,U001,0100043975,JAVA co,2020.0,1930586661.0,2020-03-02,20200302,20200302,2020-03-17,USD,RV,1.0,,7212.0,20200302.0,NAA8,1930586661.0,1,1 days,2020-03-18,0-15 days
126,U001,0200769623,WAL-MAR llc,2020.0,1930692548.0,2020-03-25,20200324,20200325,2020-04-09,USD,RV,1.0,,15797.23,20200325.0,NAH4,1930692548.0,1,-1 days,2020-04-08,0-15 days
127,U001,0200762301,C&S WH in,2020.0,1930630515.0,2020-03-11,20200310,20200311,2020-03-26,USD,RV,1.0,,2018.45,20200311.0,NAC6,1930630515.0,1,0 days,2020-03-26,0-15 days
128,U001,0200769623,WAL-MAR foundation,2020.0,1930593446.0,2020-03-04,20200303,20200304,2020-03-19,USD,RV,1.0,,14706.98,20200304.0,NAH4,1930593446.0,1,-2 days,2020-03-17,0-15 days
129,U001,0200729290,KROGER ,2020.0,1930599215.0,2020-03-04,20200304,20200304,2020-03-19,USD,RV,1.0,,115494.14,20200304.0,NAA8,1930599215.0,1,4 days,2020-03-23,0-15 days
